description,category,amount
PharmEasy Order,Healthcare,2768.53
friend money sent,Transfers & ATM,7859.34
weekly grocery,Groceries,2409.39
Blinkit Grocery*36812,Groceries,352.11
entertainment subscription,Entertainment,824.55
shopping online amazon,Shopping,4467.07
JioMart Kiryana Store,Groceries,1878.75
Pizza Hut Delivery,Food & Dining,983.98
Rapido Bike Taxi,Transport,698.02
PVR Cinemas*64773,Entertainment,893.02
Mahanagar Gas Bill,Utilities & Bills,1619.64
hospital bill payment,Healthcare,533.0
Airtel Prepaid Recharge,Utilities & Bills,2434.11
flight ticket purchase,Travel,10000.78
NEET coaching fee,Education,6689.94
Blinkit Grocery*82800,Groceries,1084.57
train ticket booking,Transport,555.8
IndiGo Airlines,Travel,10800.54
UBER*TRIP*94239,Transport,467.55
educational material,Education,4757.11
Mahanagar Gas Bill,Utilities & Bills,2410.62
TripAdvisor Hotel,Travel,3850.6
1MG*55071,Healthcare,2652.0
Croma Electronics,Shopping,4334.99
Spencer's Retail,Groceries,243.88
Meru Cabs,Transport,669.3
DMART*72193,Groceries,2033.69
SBI ATM Withdrawal,Transfers & ATM,673.44
BYJU'S App Payment,Education,6050.81
Ludo King Premium,Entertainment,302.27
NEFT Transfer HDFC*60174,Transfers & ATM,6134.56
book purchase Amazon,Education,547.79
Dish TV Recharge,Utilities & Bills,1047.39
BYJU*52026,Education,2154.11
Behrouz Biryani,Food & Dining,945.18
Snapdeal Purchase,Shopping,3247.91
tuition fee payment,Education,3088.84
Puma Online India,Shopping,3297.77
Manipal Hospital,Healthcare,160.87
IRCTC Tatkal Ticket,Travel,5980.39
swiggy se khana,Food & Dining,603.07
Tikona Internet,Utilities & Bills,864.7
Tata Power Mumbai Bill,Utilities & Bills,1866.11
YouTube Premium Monthly,Entertainment,448.58
Apple Music India,Entertainment,843.29
Reliance Fresh,Groceries,865.18
Apple Music India,Entertainment,494.07
movie ticket booking,Entertainment,452.75
McDonald's India,Food & Dining,899.74
NEET coaching fee,Education,4604.58
Apple Music India,Entertainment,398.0
Nature's Basket Order,Groceries,562.24
parking fee,Transport,114.02
Meesho App Purchase,Shopping,1731.08
dinner online order,Food & Dining,344.75
gaming purchase Steam,Entertainment,637.24
IMPS*12974,Transfers & ATM,4750.96
Airtel Prepaid Recharge,Utilities & Bills,1980.91
Myntra Fashion,Shopping,3636.73
book purchase Amazon,Education,7183.59
SonyLIV Premium,Entertainment,191.01
EatFit Health,Food & Dining,973.92
Meru Cabs,Transport,797.47
Box8 Meals,Food & Dining,124.51
PVR Cinemas*20837,Entertainment,548.87
Excitel Broadband,Utilities & Bills,1032.59
ACT Fibernet Bill,Utilities & Bills,313.48
Reliance Fresh,Groceries,1499.37
OLA*CAB*63545,Transport,387.88
BMTC Bengaluru,Transport,629.51
INOX Movies,Entertainment,942.67
Cult.fit Membership,Healthcare,2900.02
book purchase Amazon,Education,2500.93
MPL Gaming,Entertainment,787.94
travel insurance,Travel,7632.27
DMart Ready Grocery,Groceries,1639.32
money sent UPI,Transfers & ATM,11795.14
Tikona Internet,Utilities & Bills,1623.25
movie ticket booking,Entertainment,470.41
BWSSB Water Bill,Utilities & Bills,759.23
IRCTC Tatkal Ticket,Travel,7866.68
SWGY*83259,Food & Dining,746.91
petrol pump payment,Transport,785.18
Dish TV Recharge,Utilities & Bills,1845.04
movie ticket booking,Entertainment,545.06
OLA*CAB*33647,Transport,254.95
rent payment UPI,Transfers & ATM,10539.2
language learning app,Education,6688.11
electricity bill payment,Utilities & Bills,551.94
BYJU'S App Payment,Education,2325.07
TripAdvisor Hotel,Travel,7854.57
paytm transfer,Transfers & ATM,9454.07
WinZO Games,Entertainment,557.74
dinner online order,Food & Dining,202.38
flipkart order delivery,Shopping,2440.18
SpiceJet Booking,Travel,10575.3
Blinkit Instant,Food & Dining,912.89
tour payment,Travel,5706.82
PlayStation Store,Entertainment,107.51
Treebo Hotels,Travel,8913.15
Decathlon Sports,Shopping,2497.07
d2h recharge,Utilities & Bills,1961.9
NEFT*27027,Transfers & ATM,5951.4
hospital bill payment,Healthcare,794.86
parking fee,Transport,391.04
Swiggy Instamart,Groceries,1907.44
Cafe Coffee Day,Food & Dining,347.33
skill development course,Education,2536.75
FOOD*DELIV*38906,Food & Dining,626.82
travel insurance,Travel,11712.18
weekly grocery,Groceries,1464.99
DMART*40368,Groceries,2379.13
NEFT Transfer HDFC*29154,Transfers & ATM,5135.38
grocery shopping online,Groceries,2080.12
fantasy sports entry,Entertainment,456.21
Apollo Hospitals,Healthcare,2117.96
Vogo Scooter,Transport,448.14
Udemy Course Purchase,Education,1819.31
IMPS*16548,Transfers & ATM,13617.6
sabzi mandi payment,Groceries,1300.9
SPOTIFY*46010,Entertainment,581.16
HealthifyMe Premium,Healthcare,2593.35
medicine purchase,Healthcare,325.67
Zepto Quick Grocery,Groceries,1070.96
Library Fine Payment,Education,4179.48
ShopClues Order,Shopping,4119.99
AIRTEL*78919,Utilities & Bills,697.2
KFC India Order,Food & Dining,276.99
auto rickshaw UPI,Transport,52.13
AMZN*PAY*11071,Shopping,4266.27
Vistara Flight,Travel,9923.31
Pizza Hut Delivery,Food & Dining,572.66
Spotify Premium India,Entertainment,260.42
Airbnb India Stay,Travel,4454.68
zomato order khaana,Food & Dining,1035.86
Apollo Pharmacy Order,Healthcare,2391.67
BWSSB Water Bill,Utilities & Bills,1636.79
BWSSB Water Bill,Utilities & Bills,1267.5
DMART*61563,Groceries,1912.1
Duolingo Premium,Education,5767.66
PharmEasy Order,Healthcare,2236.16
EatFit Health,Food & Dining,1070.96
holiday inn payment,Travel,7928.89
Ajio Fashion,Shopping,4095.0
travel insurance,Travel,7844.18
organic grocery store,Groceries,1571.08
Coursera India Course,Education,1482.67
kirana store upi,Groceries,1151.19
Swiggy Food Delivery,Food & Dining,873.84
bus ticket online,Transport,457.57
Mahanagar Gas Bill,Utilities & Bills,1807.68
resort booking,Travel,9568.46
Mahanagar Gas Bill,Utilities & Bills,1485.4
gym membership fee,Healthcare,664.02
FabHotels,Travel,1289.1
H&M India Online,Shopping,1626.98
Vijay Sales,Shopping,2861.35
Milkbasket Order,Groceries,1440.15
IRCTC E-TICKET*41635,Transport,590.06
BWSSB Water Bill,Utilities & Bills,948.82
Air India Ticket,Travel,9701.86
SpiceJet Booking,Travel,9898.38
Tata CLiQ,Shopping,1397.39
Spotify Premium India,Entertainment,305.79
organic grocery store,Groceries,1568.43
Nike India,Shopping,2981.03
restaurant bill payment,Food & Dining,337.73
Airtel Prepaid Recharge,Utilities & Bills,338.08
tuition fee payment,Education,2448.44
clothes shopping,Shopping,2772.59
Adidas India Store,Shopping,595.62
Practo Consult Fee,Healthcare,989.47
Tata Power Mumbai Bill,Utilities & Bills,435.17
Ola Electric Scooter,Transport,798.07
Amazon Prime Video,Entertainment,595.87
JEE preparation course,Education,3523.14
Delhi Metro DMRC,Transport,249.03
entertainment subscription,Entertainment,140.14
Blinkit Instant,Food & Dining,910.18
friend money sent,Transfers & ATM,14646.22
Airtel Prepaid Recharge,Utilities & Bills,1426.43
Max Hospital,Healthcare,1883.78
ShopClues Order,Shopping,3936.65
utility bill,Utilities & Bills,2019.92
UPI transfer friend,Transfers & ATM,3100.9
Milkbasket Order,Groceries,518.73
BESCOM Electricity Bill,Utilities & Bills,2009.42
PharmEasy Order,Healthcare,2583.39
rent payment UPI,Transfers & ATM,1287.92
entertainment subscription,Entertainment,364.67
JEE preparation course,Education,6352.61
train ticket booking,Transport,594.95
1mg Medicines Online,Healthcare,1356.62
dental clinic payment,Healthcare,2675.45
McDonald's India,Food & Dining,549.53
eye clinic glasses,Healthcare,1277.45
SpiceJet Booking,Travel,3227.1
Practo Consult Fee,Healthcare,1499.68
Vedantu Live Classes,Education,4440.25
clothes shopping,Shopping,2407.93
organic grocery store,Groceries,1944.33
Udemy Course Purchase,Education,3270.63
IMPS*56376,Transfers & ATM,14364.66
Box8 Meals,Food & Dining,1071.71
Zepto Quick Grocery,Groceries,1745.81
Cafe Coffee Day,Food & Dining,1120.5
ShopClues Order,Shopping,1644.83
Apollo Pharmacy Order,Healthcare,1830.62
Croma Electronics,Shopping,1510.71
Max Hospital,Healthcare,2216.78
JioSaavn Pro,Entertainment,946.43
SpiceJet Booking,Travel,6034.14
fuel station HPCL,Transport,454.99
bank transfer online,Transfers & ATM,8656.07
clothes shopping,Shopping,1750.72
Adidas India Store,Shopping,4749.89
UPI transfer friend,Transfers & ATM,11064.78
hotel booking online,Travel,6976.44
canteen payment,Food & Dining,521.3
fantasy sports entry,Entertainment,168.23
Delhi Metro DMRC,Transport,105.4
Duolingo Premium,Education,1891.37
Apollo Pharmacy Order,Healthcare,2692.22
FabHotels,Travel,8582.75
ZOMATO*ORDER60968,Food & Dining,456.47
Behrouz Biryani,Food & Dining,400.02
Indian Oil Fuel,Transport,543.01
Biryani By Kilo,Food & Dining,264.85
Goibibo Flight Booking,Travel,2790.57
IndiGo Airlines,Travel,2720.87
certification exam fee,Education,7373.19
Nike India,Shopping,3213.78
Tata Power Mumbai Bill,Utilities & Bills,677.84
yoga class,Healthcare,2633.58
mobile recharge online,Utilities & Bills,1370.17
MPL Gaming,Entertainment,521.54
travel insurance,Travel,5012.85
diagnostic center fee,Healthcare,1173.87
shopping online amazon,Shopping,1962.63
1mg Medicines Online,Healthcare,990.49
lunch delivery,Food & Dining,157.52
UPI/PhonePe/63296,Transfers & ATM,14274.04
phonepe send,Transfers & ATM,9588.76
Blinkit Grocery*69596,Groceries,407.41
Puma Online India,Shopping,2959.1
Cafe Coffee Day,Food & Dining,391.22
Vijay Sales,Shopping,523.93
Nykaa Beauty Order,Shopping,569.47
Google Pay Send Money,Transfers & ATM,10881.47
Indian Oil Fuel,Transport,299.0
More Supermarket,Groceries,1408.4
Uber India Trip,Transport,163.8
NEFT Transfer HDFC*71689,Transfers & ATM,11135.41
MPL Gaming,Entertainment,169.58
gas cylinder booking,Utilities & Bills,1524.76
visa fee,Travel,3675.15
IndiGo Airlines,Travel,5319.57
Tikona Internet,Utilities & Bills,852.99
tuition fee payment,Education,2066.27
HealthifyMe Premium,Healthcare,1860.09
BPCL Petrol,Transport,448.19
BYJU*68598,Education,2732.99
OYO Rooms Booking*37600,Travel,2419.47
ACT Fibernet Bill,Utilities & Bills,1976.38
bank transfer online,Transfers & ATM,9349.38
book purchase Amazon,Education,5170.52
OYO Rooms Booking*29750,Travel,669.34
Netmeds Medicine Order,Healthcare,2786.05
Gaana Music Pro,Entertainment,437.45
BluSmart EV Cab,Transport,683.98
Google Pay Send Money,Transfers & ATM,1017.63
FOOD*DELIV*44237,Food & Dining,280.0
gaming purchase Steam,Entertainment,440.9
fantasy sports entry,Entertainment,748.5
More Supermarket,Groceries,525.58
Burger King India,Food & Dining,881.94
dental clinic payment,Healthcare,2532.94
zomato order khaana,Food & Dining,446.63
INOX Movies,Entertainment,627.33
auto rickshaw UPI,Transport,402.43
split bill payment,Transfers & ATM,7149.39
Pizza Hut Delivery,Food & Dining,829.26
doctor consultation fee,Healthcare,2535.38
Swiggy Food Delivery,Food & Dining,734.28
Blinkit Instant,Food & Dining,391.97
Practo Consult Fee,Healthcare,2491.74
Air India Ticket,Travel,2261.77
SBI ATM Withdrawal,Transfers & ATM,819.53
entertainment subscription,Entertainment,260.98
DMart Ready Grocery,Groceries,499.17
milk subscription daily,Groceries,763.1
IRCTC Tatkal Ticket,Travel,6824.6
Tikona Internet,Utilities & Bills,751.97
Faasos Online,Food & Dining,1182.27
gym membership fee,Healthcare,1981.81
split bill payment,Transfers & ATM,12939.87
rent payment UPI,Transfers & ATM,7433.02
Google Pay Send Money,Transfers & ATM,7588.97
split bill payment,Transfers & ATM,5410.92
Library Fine Payment,Education,4277.65
TripAdvisor Hotel,Travel,9112.48
Indian Oil Fuel,Transport,767.47
skill development course,Education,4735.71
Nature's Basket Order,Groceries,671.93
concert ticket,Entertainment,314.35
Cult.fit Membership,Healthcare,2687.33
parking fee,Transport,528.91
doctor consultation fee,Healthcare,2367.18
paytm transfer,Transfers & ATM,1413.39
Milkbasket Order,Groceries,688.38
mobile accessories,Shopping,2429.65
certification exam fee,Education,4384.37
fresh produce market,Groceries,925.66
Tata Power Mumbai Bill,Utilities & Bills,1514.57
College Fee Payment*31096,Education,1715.93
TNEB Power Bill,Utilities & Bills,412.85
Starbucks India,Food & Dining,999.0
Lifestyle Stores,Shopping,2715.05
cash withdrawal ATM,Transfers & ATM,14074.64
Excitel Broadband,Utilities & Bills,1048.79
skill development course,Education,5203.59
Decathlon Sports,Shopping,4986.38
DMart Ready Grocery,Groceries,1482.71
dental clinic payment,Healthcare,2961.93
UPI transfer friend,Transfers & ATM,11670.33
d2h recharge,Utilities & Bills,2198.67
tour payment,Travel,11016.45
grocery shopping online,Groceries,1837.08
Excitel Broadband,Utilities & Bills,2304.96
eye clinic glasses,Healthcare,1041.22
landlord rent transfer,Transfers & ATM,12999.21
Apple Music India,Entertainment,971.03
Domino's Pizza Order,Food & Dining,591.24
Pizza Hut Delivery,Food & Dining,1168.51
Nykaa Beauty Order,Shopping,2024.38
mobile recharge online,Utilities & Bills,925.03
MPL Gaming,Entertainment,711.67
RedBus Ticket Booking,Transport,674.47
BEST Bus Mumbai,Transport,695.11
SBI ATM Withdrawal,Transfers & ATM,5905.8
certification exam fee,Education,5822.95
Coursera India Course,Education,1283.84
UBER*TRIP*74178,Transport,698.95
Library Fine Payment,Education,5098.35
travel booking,Travel,9292.19
friend money sent,Transfers & ATM,7200.74
ATM cash withdrawal,Transfers & ATM,3299.65
NEET coaching fee,Education,1333.29
hospital bill payment,Healthcare,789.32
PharmEasy Order,Healthcare,1547.74
Ludo King Premium,Entertainment,283.06
Simplilearn Course,Education,4516.77
educational material,Education,4535.78
khaana order,Food & Dining,1122.51
Myntra Fashion,Shopping,2295.65
NETFLIX*21919,Entertainment,908.0
bus ticket online,Transport,415.96
Vistara Flight,Travel,929.77
Practo Consult Fee,Healthcare,685.62
Tata CLiQ,Shopping,374.82
cab booking fare,Transport,583.88
Jio Recharge RJIL*11056,Utilities & Bills,1769.13
educational material,Education,6814.16
DMart Ready Grocery,Groceries,2449.94
educational material,Education,5330.34
BMTC Bengaluru,Transport,222.9
dinner online order,Food & Dining,535.14
IMPS Transfer*97340,Transfers & ATM,12019.63
gas cylinder booking,Utilities & Bills,1895.14
Ludo King Premium,Entertainment,398.74
UBER*TRIP*44362,Transport,488.42
cab booking fare,Transport,777.47
educational material,Education,1430.01
d2h recharge,Utilities & Bills,2259.65
BigBasket BB Order*82737,Groceries,2382.97
BYJU*90576,Education,4918.17
OLA*RIDE*47056,Transport,577.24
Apple Music India,Entertainment,381.38
Apollo Pharmacy Order,Healthcare,2578.2
eye clinic glasses,Healthcare,905.26
Biryani By Kilo,Food & Dining,988.04
Rapido Bike Taxi,Transport,337.69
DMART*78632,Groceries,913.83
Narayana Health,Healthcare,439.07
Fortis Healthcare,Healthcare,2181.31
SBI ATM Withdrawal,Transfers & ATM,2085.79
Vijay Sales,Shopping,1688.42
Nature's Basket Order,Groceries,2240.7
Ludo King Premium,Entertainment,156.38
BookMyShow Ticket*15936,Entertainment,480.33
Hathway Internet,Utilities & Bills,700.18
IMPS Transfer*87469,Transfers & ATM,1427.39
PharmEasy Order,Healthcare,2920.67
FabHotels,Travel,7661.67
Hathway Internet,Utilities & Bills,1190.72
DTH recharge Tata Sky,Utilities & Bills,1103.34
BWSSB Water Bill,Utilities & Bills,854.31
BIGBSKT*90879,Groceries,1326.87
PharmEasy Order,Healthcare,1963.13
KFC India Order,Food & Dining,144.88
travel booking,Travel,973.6
TripAdvisor Hotel,Travel,9043.66
Domino's Pizza Order,Food & Dining,1169.89
Cult.fit Membership,Healthcare,1622.03
Dish TV Recharge,Utilities & Bills,2227.28
Vedantu Live Classes,Education,5407.34
Airbnb India Stay,Travel,8565.27
TNEB Power Bill,Utilities & Bills,705.69
College Fee Payment*73373,Education,7531.59
Airtel Prepaid Recharge,Utilities & Bills,1573.47
mobile recharge online,Utilities & Bills,269.06
SBI ATM Withdrawal,Transfers & ATM,9183.92
vegetables fruits purchase,Groceries,1990.61
educational material,Education,5377.14
Lifestyle Stores,Shopping,3464.2
TNEB Power Bill,Utilities & Bills,326.44
UPI/PhonePe/14855,Transfers & ATM,5419.63
Duolingo Premium,Education,5346.8
Nike India,Shopping,2992.72
Xbox Game Pass,Entertainment,587.87
zomato order khaana,Food & Dining,226.58
Airbnb India Stay,Travel,3383.01
Croma Electronics,Shopping,4104.66
Google Pay Send Money,Transfers & ATM,5682.09
UNACAD*53512,Education,4612.72
BWSSB Water Bill,Utilities & Bills,876.09
Swiggy Instamart,Groceries,1393.02
family transfer,Transfers & ATM,9170.07
DMart Ready Grocery,Groceries,451.4
family transfer,Transfers & ATM,3878.29
PharmEasy Order,Healthcare,501.01
CESC Kolkata,Utilities & Bills,1905.33
Dish TV Recharge,Utilities & Bills,1510.61
Library Fine Payment,Education,5229.88
Blinkit Grocery*36956,Groceries,1767.49
Meru Cabs,Transport,526.09
SpiceJet Booking,Travel,9827.35
mess fee online,Food & Dining,952.06
Google Pay Send Money,Transfers & ATM,7696.77
organic grocery store,Groceries,1520.63
MPL Gaming,Entertainment,857.34
H&M India Online,Shopping,1826.71
Duolingo Premium,Education,5146.89
travel insurance,Travel,5450.01
supermarket bill,Groceries,1011.7
OLA*RIDE*41890,Transport,279.65
shopping online amazon,Shopping,1160.06
NEFT Transfer HDFC*22761,Transfers & ATM,13806.83
NEET coaching fee,Education,4048.32
flight ticket purchase,Travel,4700.58
Reliance Digital,Shopping,4737.5
language learning app,Education,2794.67
parking fee,Transport,516.29
Nature's Basket Order,Groceries,845.06
SPOTIFY*69770,Entertainment,434.88
Pizza Hut Delivery,Food & Dining,568.14
Behrouz Biryani,Food & Dining,201.07
Netmeds Medicine Order,Healthcare,2386.57
hotel booking online,Travel,3036.81
landlord rent transfer,Transfers & ATM,14806.26
medicine purchase,Healthcare,2083.42
Flipkart Internet Pvt,Shopping,1890.39
fresh produce market,Groceries,488.76
gadget buy,Shopping,2244.78
FabHotels,Travel,3363.07
College Fee Payment*95208,Education,7808.86
Subway India,Food & Dining,732.41
grocery shopping online,Groceries,1242.55
College Fee Payment*24230,Education,426.55
NETFLIX*71080,Entertainment,187.75
BEST Bus Mumbai,Transport,794.19
Goibibo Flight Booking,Travel,10432.06
Croma Electronics,Shopping,3372.07
organic grocery store,Groceries,2049.21
food delivery online,Food & Dining,766.17
Reliance Digital,Shopping,3148.87
Narayana Health,Healthcare,163.31
BookMyShow Ticket*80206,Entertainment,751.13
Goibibo Flight Booking,Travel,7182.39
train ticket booking,Transport,148.56
Hathway Internet,Utilities & Bills,1242.27
Udemy Course Purchase,Education,4301.69
clothes shopping,Shopping,1819.91
Yatra.com Ticket,Travel,5051.8
phonepe send,Transfers & ATM,5334.88
InDrive Cab,Transport,775.45
split bill payment,Transfers & ATM,8328.07
bus ticket online,Transport,362.13
ATM cash withdrawal,Transfers & ATM,9605.94
Xbox Game Pass,Entertainment,626.29
shopping online amazon,Shopping,2428.79
RedBus Ticket Booking,Transport,358.11
sabzi mandi payment,Groceries,1488.96
gadget buy,Shopping,2451.2
train ticket booking,Transport,291.74
milk subscription daily,Groceries,2283.89
Puma Online India,Shopping,4544.61
resort booking,Travel,11216.21
GoFirst Air,Travel,673.28
Google Pay Send Money,Transfers & ATM,13175.89
holiday inn payment,Travel,6528.85
Goibibo Flight Booking,Travel,4650.65
dental clinic payment,Healthcare,1567.51
Nature's Basket Order,Groceries,1859.08
BigBasket BB Order*89689,Groceries,2230.22
Apple Music India,Entertainment,705.3
food delivery online,Food & Dining,545.67
DTH recharge Tata Sky,Utilities & Bills,2282.49
BPCL Petrol,Transport,142.69
broadband bill pay,Utilities & Bills,1305.25
NETFLIX*70401,Entertainment,250.41
Columbia Asia,Healthcare,1303.11
Duolingo Premium,Education,2619.7
holiday inn payment,Travel,11289.8
DMart Ready Grocery,Groceries,437.14
GoFirst Air,Travel,5350.89
1MG*93665,Healthcare,2386.96
resort booking,Travel,6490.65
JIO*RCHG*15806,Utilities & Bills,1451.29
BPCL Petrol,Transport,106.3
Uber India Trip,Transport,293.28
gaming purchase Steam,Entertainment,385.68
FabHotels,Travel,5965.61
Nature's Basket Order,Groceries,611.39
gym membership fee,Healthcare,783.74
Apollo Hospitals,Healthcare,319.73
ZOMATO*ORDER61173,Food & Dining,377.03
McDonald's India,Food & Dining,324.87
milk subscription daily,Groceries,1106.82
train ticket booking,Transport,124.43
BESCOM Electricity Bill,Utilities & Bills,2364.47
sabzi mandi payment,Groceries,452.31
online course payment,Education,6918.72
Apple Music India,Entertainment,502.68
AIRTEL*94500,Utilities & Bills,300.78
MPL Gaming,Entertainment,910.02
Indian Oil Fuel,Transport,271.9
Duolingo Premium,Education,1302.66
diagnostic center fee,Healthcare,716.14
cash withdrawal ATM,Transfers & ATM,6976.47
BigBasket BB Order*85751,Groceries,1345.76
landlord rent transfer,Transfers & ATM,3721.09
Uber India Trip,Transport,484.68
RedBus Ticket Booking,Transport,375.14
Burger King India,Food & Dining,1120.38
IndiGo Airlines,Travel,3135.89
Swiggy Instamart,Groceries,1837.9
concert ticket,Entertainment,199.99
exam registration fee,Education,7059.6
movie ticket booking,Entertainment,990.29
online course payment,Education,4271.28
organic grocery store,Groceries,2266.88
HealthifyMe Premium,Healthcare,965.36
doctor consultation fee,Healthcare,619.92
gym membership fee,Healthcare,1294.9
AkasaAir Booking,Travel,3013.51
AIRTEL*87847,Utilities & Bills,269.5
language learning app,Education,7494.59
Mumbai Metro MMR,Transport,332.15
Reliance Fresh,Groceries,911.89
Subway India,Food & Dining,676.67
book purchase Amazon,Education,7168.77
UPI transfer friend,Transfers & ATM,5859.63
weekly grocery,Groceries,834.52
Treebo Hotels,Travel,11575.84
Ludo King Premium,Entertainment,266.58
Vedantu Live Classes,Education,6959.99
IRCTC Tatkal Ticket,Travel,6639.86
doctor consultation fee,Healthcare,1126.61
rent payment UPI,Transfers & ATM,7713.97
UPI transfer friend,Transfers & ATM,10555.8
Tata Power Mumbai Bill,Utilities & Bills,2029.16
Spotify Premium India,Entertainment,186.92
milk subscription daily,Groceries,2357.04
BMTC Bengaluru,Transport,482.19
Ajio Fashion,Shopping,2817.82
tuition fee payment,Education,6545.84
YouTube Premium Monthly,Entertainment,754.07
gym membership fee,Healthcare,407.62
INOX Movies,Entertainment,395.88
Duolingo Premium,Education,6457.18
Blinkit Instant,Food & Dining,597.73
Vijay Sales,Shopping,815.13
SBI ATM Withdrawal,Transfers & ATM,8331.87
ShopClues Order,Shopping,1860.26
BookMyShow Ticket*34662,Entertainment,823.19
College Fee Payment*67658,Education,1574.33
AIRTEL*98797,Utilities & Bills,1651.83
NETFLIX*34123,Entertainment,924.21
Tata Power Mumbai Bill,Utilities & Bills,2471.56
Faasos Online,Food & Dining,850.74
d2h recharge,Utilities & Bills,628.49
Udemy Course Purchase,Education,1588.11
khaana order,Food & Dining,812.45
YouTube Premium Monthly,Entertainment,764.69
Decathlon Sports,Shopping,1829.0
JEE preparation course,Education,5339.66
Milkbasket Order,Groceries,1288.27
Tata Power Mumbai Bill,Utilities & Bills,591.67
Tata Power Mumbai Bill,Utilities & Bills,346.79
Simplilearn Course,Education,4049.17
metro card recharge,Transport,641.32
Country Delight Milk,Groceries,1529.24
Coursera India Course,Education,4546.83
Jio Recharge RJIL*15772,Utilities & Bills,2160.71
YouTube Premium Monthly,Entertainment,857.29
GoFirst Air,Travel,7496.75
ZEE5 Premium,Entertainment,105.09
diagnostic center fee,Healthcare,2747.82
Ola Electric Scooter,Transport,609.92
ZOMATO*ORDER91439,Food & Dining,250.67
certification exam fee,Education,7352.42
1mg Medicines Online,Healthcare,2036.61
Lifestyle Stores,Shopping,376.56
SPOTIFY*52982,Entertainment,177.06
Vijay Sales,Shopping,4606.01
TripAdvisor Hotel,Travel,6445.58
online course payment,Education,6338.95
canteen payment,Food & Dining,161.25
KFC India Order,Food & Dining,236.28
Croma Electronics,Shopping,4667.9
Great Learning Program,Education,686.75
d2h recharge,Utilities & Bills,1229.91
Netmeds Medicine Order,Healthcare,1109.2
hospital bill payment,Healthcare,244.25
Meesho App Purchase,Shopping,816.71
Tikona Internet,Utilities & Bills,138.09
MMYT*51373,Travel,8425.92
swiggy se khana,Food & Dining,1085.56
cash withdrawal ATM,Transfers & ATM,5777.86
doctor consultation fee,Healthcare,2644.26
NEFT Transfer HDFC*28274,Transfers & ATM,10331.12
ShopClues Order,Shopping,2762.79
weekly grocery,Groceries,2462.23
PVR Cinemas*62198,Entertainment,970.85
fresh produce market,Groceries,470.6
College Fee Payment*61248,Education,6434.93
BESCOM Electricity Bill,Utilities & Bills,1326.64
broadband bill pay,Utilities & Bills,1109.49
shopping online amazon,Shopping,2606.06
dental clinic payment,Healthcare,571.45
Gaana Music Pro,Entertainment,590.65
Treebo Hotels,Travel,6370.11
movie ticket booking,Entertainment,606.16
utility bill,Utilities & Bills,1794.08
Nike India,Shopping,2533.59
BigBasket BB Order*19403,Groceries,1691.3
Duolingo Premium,Education,734.91
resort booking,Travel,874.47
family transfer,Transfers & ATM,11063.88
Vijay Sales,Shopping,2858.86
Uber India Trip,Transport,780.72
SBI ATM Withdrawal,Transfers & ATM,2250.81
mobile accessories,Shopping,590.67
BEST Bus Mumbai,Transport,742.93
Burger King India,Food & Dining,151.94
split bill payment,Transfers & ATM,11669.8
dinner online order,Food & Dining,288.12
Columbia Asia,Healthcare,1416.3
hotel booking online,Travel,7787.11
WinZO Games,Entertainment,295.57
doctor consultation fee,Healthcare,2111.38
Goibibo Flight Booking,Travel,2823.91
EatFit Health,Food & Dining,1096.99
exam registration fee,Education,3097.1
Behrouz Biryani,Food & Dining,859.92
Nature's Basket Order,Groceries,1720.03
Medplus Pharmacy,Healthcare,1821.84
food delivery online,Food & Dining,136.24
OLA*CAB*22026,Transport,609.58
Google Pay Send Money,Transfers & ATM,3512.86
zomato order khaana,Food & Dining,838.6
family transfer,Transfers & ATM,1090.13
BMTC Bengaluru,Transport,461.91
1mg Medicines Online,Healthcare,2115.79
ATM cash withdrawal,Transfers & ATM,3079.98
Nature's Basket Order,Groceries,394.73
Croma Electronics,Shopping,4406.56
1mg Medicines Online,Healthcare,2766.39
organic grocery store,Groceries,860.53
IMPS*42079,Transfers & ATM,912.42
yoga class,Healthcare,153.65
TripAdvisor Hotel,Travel,7965.01
Faasos Online,Food & Dining,440.92
BMTC Bengaluru,Transport,550.13
Croma Electronics,Shopping,3939.54
Box8 Meals,Food & Dining,678.22
Gaana Music Pro,Entertainment,355.11
Dish TV Recharge,Utilities & Bills,1573.47
phonepe send,Transfers & ATM,12098.61
Cafe Coffee Day,Food & Dining,194.48
supermarket bill,Groceries,1504.59
travel insurance,Travel,3297.64
grocery shopping online,Groceries,1314.72
IRCTC E-TICKET*46559,Transport,711.22
lunch delivery,Food & Dining,389.88
Apple Music India,Entertainment,437.08
Treebo Hotels,Travel,7614.42
Spotify Premium India,Entertainment,916.14
MPL Gaming,Entertainment,118.59
resort booking,Travel,5615.72
Vogo Scooter,Transport,124.52
Mahanagar Gas Bill,Utilities & Bills,850.96
bus ticket online,Transport,418.16
mobile accessories,Shopping,2359.08
book purchase Amazon,Education,3934.67
BYJU'S App Payment,Education,7169.1
Boat Audio Products,Shopping,1702.0
Adidas India Store,Shopping,2450.74
Mahanagar Gas Bill,Utilities & Bills,698.48
khaana order,Food & Dining,702.46
Rapido Bike Taxi,Transport,641.48
mess fee online,Food & Dining,917.68
Mumbai Metro MMR,Transport,212.29
OYO Rooms Booking*71349,Travel,9711.73
PharmEasy Order,Healthcare,2680.6
milk subscription daily,Groceries,799.02
Reliance Digital,Shopping,3455.12
